pair_name,family,approx_model_name,target_model_name,task,prompt_id,gamma,top_k,top_p,temperature,max_tokens,approx_quant,target_quant,baseline_large_tps,baseline_large_elapsed_ms,avg_target_baseline_generate_ms_per_token,baseline_small_tps,speculative_tps,speedup,rounds,generated_tokens,accepted_count,resample_count,target_sample_count,proposed_draft_tokens,acceptance_rate,all_accept_round_rate,resample_round_rate,avg_accepted_per_round,avg_contributed_per_round,avg_draft_generate_ms_per_round,avg_target_verify_ms_per_round,draft_generate_ms_total,target_verify_ms_total
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,50,0.0,1.0,64,none,none,16.427211,4078.598733,60.874608,,28.287327,1.72198,15,67,52,5,10,60,0.866667,0.666667,0.333333,3.466667,4.466667,86.388136,69.324859,1295.822037,1039.872879
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,50,0.9,1.0,64,none,none,16.166946,4144.258177,61.8546,,29.150775,1.80311,14,67,53,1,13,56,0.946429,0.928571,0.071429,3.785714,4.785714,90.014433,71.951488,1260.202057,1007.320826
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,100,0.0,1.0,64,none,none,16.158041,4084.6536,61.888691,,29.828841,1.846068,14,66,52,1,13,56,0.928571,0.928571,0.071429,3.714286,4.714286,86.531176,69.435692,1211.436464,972.099689
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,100,0.9,1.0,64,none,none,15.554279,4114.623299,64.290989,,28.169945,1.811074,14,64,50,3,11,56,0.892857,0.785714,0.214286,3.571429,4.571429,88.20628,71.875361,1234.887918,1006.255048
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,150,0.0,1.0,64,none,none,15.658362,4087.273109,63.863642,,28.803137,1.839473,14,64,50,3,11,56,0.892857,0.785714,0.214286,3.571429,4.571429,86.99215,69.540008,1217.890099,973.560118
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,150,0.9,1.0,64,none,none,16.269536,4118.126106,61.464569,,24.440563,1.502229,17,67,50,8,9,68,0.735294,0.529412,0.470588,2.941176,3.941176,87.651081,71.476352,1490.068371,1215.097978
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,200,0.0,1.0,64,none,none,15.880551,4093.056923,62.970107,,29.233619,1.840844,14,65,51,2,12,56,0.910714,0.857143,0.142857,3.642857,4.642857,86.981546,69.665592,1217.741644,975.318283
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,200,0.9,1.0,64,none,none,15.779065,4119.382201,63.375111,,26.71174,1.692859,15,65,50,6,9,60,0.833333,0.6,0.4,3.333333,4.333333,88.239581,71.789197,1323.59371,1076.837957
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,6,50,0.0,1.0,64,none,none,16.569541,4103.915847,60.351704,,26.073309,1.573569,13,68,55,6,7,78,0.705128,0.538462,0.461538,4.230769,5.230769,127.580405,70.503268,1658.545261,916.542487
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,6,50,0.9,1.0,64,none,none,15.759756,4124.429212,63.452757,,26.19345,1.662047,12,65,53,5,7,72,0.736111,0.583333,0.416667,4.416667,5.416667,130.391398,73.82858,1564.696774,885.942956
