pair_name,family,approx_model_name,target_model_name,task,prompt_id,gamma,top_k,top_p,temperature,max_tokens,approx_quant,target_quant,baseline_large_tps,baseline_large_elapsed_ms,avg_target_baseline_generate_ms_per_token,baseline_small_tps,speculative_tps,speedup,rounds,generated_tokens,accepted_count,resample_count,target_sample_count,proposed_draft_tokens,acceptance_rate,all_accept_round_rate,resample_round_rate,avg_accepted_per_round,avg_contributed_per_round,avg_draft_generate_ms_per_round,avg_target_verify_ms_per_round,draft_generate_ms_total,target_verify_ms_total
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,50,0.0,1.0,64,nf4,nf4,14.096159,4824.009216,70.941312,,15.129225,1.073287,15,68,53,4,11,60,0.883333,0.733333,0.266667,3.533333,4.533333,160.568602,136.767789,2408.529027,2051.516839
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,50,0.9,1.0,64,nf4,nf4,13.3479,4794.761772,74.918153,,13.26398,0.993713,16,64,48,6,10,64,0.75,0.625,0.375,3,4,160.697048,138.702093,2571.152764,2219.233489
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,100,0.0,1.0,64,nf4,nf4,14.236777,4706.121501,70.240619,,15.808441,1.110395,14,67,53,1,13,56,0.946429,0.928571,0.071429,3.785714,4.785714,163.405071,137.073204,2287.670993,1919.02485
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,100,0.9,1.0,64,nf4,nf4,13.977131,4721.999074,71.545441,,14.420297,1.031707,15,66,51,3,12,60,0.85,0.8,0.2,3.4,4.4,163.750068,139.15141,2456.251022,2087.271149
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,150,0.0,1.0,64,nf4,nf4,14.234842,4777.011358,70.250167,,15.008469,1.054347,15,68,53,3,12,60,0.883333,0.8,0.2,3.533333,4.533333,162.713532,136.999124,2440.702986,2054.98686
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,150,0.9,1.0,64,nf4,nf4,13.935526,4807.855937,71.759044,,15.691161,1.125983,14,67,53,2,12,56,0.946429,0.857143,0.142857,3.785714,4.785714,163.978078,138.738658,2295.693098,1942.341207
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,200,0.0,1.0,64,nf4,nf4,14.296259,4756.489134,69.94837,,15.071194,1.054205,15,68,53,3,12,60,0.883333,0.8,0.2,3.533333,4.533333,161.913017,136.56744,2428.695261,2048.511595
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,4,200,0.9,1.0,64,nf4,nf4,14.255408,4770.119524,70.148817,,14.607158,1.024675,15,68,53,3,12,60,0.883333,0.8,0.2,3.533333,4.533333,168.870449,139.078252,2533.056729,2086.173776
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,6,50,0.0,1.0,64,nf4,nf4,14.600681,4794.296997,68.489957,,14.1645,0.970126,13,70,57,4,9,78,0.730769,0.692308,0.307692,4.384615,5.384615,239.55548,137.885642,3114.221235,1792.513352
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,6,50,0.9,1.0,64,nf4,nf4,14.719892,4755.469625,67.93528,,12.221664,0.830282,15,70,55,8,7,90,0.611111,0.466667,0.533333,3.666667,4.666667,238.828419,140.394749,3582.42628,2105.92123
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,6,100,0.0,1.0,64,nf4,nf4,14.41699,4716.657176,69.362606,,17.628193,1.222737,10,68,58,1,9,60,0.966667,0.9,0.1,5.8,6.8,244.241796,138.416766,2442.417963,1384.167655
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,6,100,0.9,1.0,64,nf4,nf4,13.852404,4836.705487,72.189634,,13.544152,0.977747,13,67,54,6,7,78,0.692308,0.538462,0.461538,4.153846,5.153846,236.914319,140.949713,3079.886146,1832.346272
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,6,150,0.0,1.0,64,nf4,nf4,13.459891,4754.867737,74.294808,,16.64583,1.236699,10,64,54,1,9,60,0.9,0.9,0.1,5.4,6.4,243.074505,138.51739,2430.745045,1385.1739
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,6,150,0.9,1.0,64,nf4,nf4,14.584481,4799.622444,68.566035,,14.032203,0.962133,13,70,57,4,9,78,0.730769,0.692308,0.307692,4.384615,5.384615,240.2845,140.774235,3123.698497,1830.065049
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,6,200,0.0,1.0,64,nf4,nf4,14.254235,4770.51197,70.154588,,14.8859,1.044314,12,68,56,3,9,72,0.777778,0.75,0.25,4.666667,5.666667,239.554458,138.308047,2874.6535,1659.69656
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,6,200,0.9,1.0,64,nf4,nf4,13.960938,4799.104311,71.628423,,17.355707,1.243162,10,67,57,1,9,60,0.95,0.9,0.1,5.7,6.7,241.623152,141.453871,2416.231517,1414.538708
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,8,50,0.0,1.0,64,nf4,nf4,14.109704,4748.505067,70.87321,,11.556055,0.819015,13,67,54,8,5,104,0.519231,0.384615,0.615385,4.153846,5.153846,304.575141,138.641506,3959.47683,1802.33958
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,8,50,0.9,1.0,64,nf4,nf4,14.673368,4770.547535,68.150679,,13.869175,0.945194,11,70,59,4,7,88,0.670455,0.636364,0.363636,5.363636,6.363636,313.057374,142.760056,3443.631111,1570.360615
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,8,100,0.0,1.0,64,nf4,nf4,13.513859,4735.878849,73.998107,,17.645542,1.305737,8,64,56,3,5,64,0.875,0.625,0.375,7,8,309.912011,139.894074,2479.296084,1119.152596
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,8,100,0.9,1.0,64,nf4,nf4,14.106469,4749.593799,70.88946,,10.479614,0.742894,14,67,53,9,5,112,0.473214,0.357143,0.642857,3.785714,4.785714,311.662086,142.292048,4363.269206,1992.088676
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,8,150,0.0,1.0,64,nf4,nf4,15.014901,4728.635942,66.600506,,17.316606,1.153295,9,71,62,2,7,72,0.861111,0.777778,0.222222,6.888889,7.888889,312.127314,139.949433,2809.145826,1259.544894
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,8,150,0.9,1.0,64,nf4,nf4,13.651833,4761.265278,73.250235,,14.125411,1.03469,10,65,55,5,5,80,0.6875,0.5,0.5,5.5,6.5,313.619916,143.437648,3136.199156,1434.376477
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,8,200,0.0,1.0,64,nf4,nf4,13.533781,4728.907578,73.889181,,17.435962,1.288329,8,64,56,1,7,64,0.875,0.875,0.125,7,8,315.336804,140.101696,2522.694435,1120.813564
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,8,200,0.9,1.0,64,nf4,nf4,13.892837,4750.649702,71.979541,,12.999898,0.935727,11,66,55,7,4,88,0.625,0.363636,0.636364,5,6,315.399232,143.061234,3469.391553,1573.67357
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,10,50,0.0,1.0,64,nf4,nf4,14.024356,4777.403023,71.304523,,14.197344,1.012335,9,67,58,5,4,90,0.644444,0.444444,0.555556,6.444444,7.444444,380.795729,140.069114,3427.161559,1260.622023
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,10,50,0.9,1.0,64,nf4,nf4,13.925637,4739.460145,71.810002,,13.800737,0.991031,9,66,57,6,3,90,0.633333,0.333333,0.666667,6.333333,7.333333,383.455744,144.430021,3451.101697,1299.870192
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,10,100,0.0,1.0,64,nf4,nf4,13.89038,4751.489874,71.992271,,17.727861,1.276269,7,66,59,3,4,70,0.842857,0.571429,0.428571,8.428571,9.428571,386.489221,141.248244,2705.424545,988.737711
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,10,100,0.9,1.0,64,nf4,nf4,13.324902,4803.037266,75.047457,,16.769695,1.258523,7,64,57,2,5,70,0.814286,0.714286,0.285714,8.142857,9.142857,395.495015,145.828363,2768.465102,1020.798544
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,10,150,0.0,1.0,64,nf4,nf4,15.57159,4752.244218,64.219516,,17.413871,1.11831,8,74,66,2,6,80,0.825,0.75,0.25,8.25,9.25,386.492005,140.828254,3091.936042,1126.626034
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,10,150,0.9,1.0,64,nf4,nf4,14.106049,4749.735311,70.891572,,15.564395,1.103384,8,67,59,4,4,80,0.7375,0.5,0.5,7.375,8.375,389.10606,145.254352,3112.848479,1162.034818
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,10,200,0.0,1.0,64,nf4,nf4,13.654826,4760.221902,73.234183,,15.32659,1.12243,8,65,57,3,5,80,0.7125,0.625,0.375,7.125,8.125,385.563672,140.951693,3084.509377,1127.613544
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_0,10,200,0.9,1.0,64,nf4,nf4,13.385626,4781.248227,74.707004,,6.765538,0.505433,18,64,46,17,1,180,0.255556,0.055556,0.944444,2.555556,3.555556,380.371955,142.720107,6846.695194,2568.961931
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_1,4,50,0.0,1.0,64,nf4,nf4,14.199776,4718.384406,70.423648,,13.780246,0.970455,16,67,51,4,12,64,0.796875,0.75,0.25,3.1875,4.1875,164.874212,136.702947,2637.987393,2187.247152
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_1,4,50,0.9,1.0,64,nf4,nf4,13.496265,4816.147203,74.094572,,13.341146,0.988507,16,65,49,6,10,64,0.765625,0.625,0.375,3.0625,4.0625,163.687253,138.529321,2618.996046,2216.469132
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_1,4,100,0.0,1.0,64,nf4,nf4,13.693161,4746.895108,73.029156,,15.347626,1.120824,14,65,51,2,12,56,0.910714,0.857143,0.142857,3.642857,4.642857,163.557843,136.599347,2289.809803,1912.390861
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_1,4,100,0.9,1.0,64,nf4,nf4,13.331627,4800.614344,75.009599,,13.882921,1.041352,15,64,49,5,10,60,0.816667,0.666667,0.333333,3.266667,4.266667,166.066222,138.92621,2490.993337,2083.89315
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_1,4,150,0.0,1.0,64,nf4,nf4,13.363323,4789.228036,74.831688,,15.012156,1.123385,14,64,50,2,12,56,0.892857,0.857143,0.142857,3.571429,4.571429,165.513181,136.637526,2317.184536,1912.925362
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_1,4,150,0.9,1.0,64,nf4,nf4,13.781231,4789.122183,72.562457,,14.404838,1.04525,15,66,51,5,10,60,0.85,0.666667,0.333333,3.4,4.4,164.350484,138.717992,2465.257258,2080.769883
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_1,4,200,0.0,1.0,64,nf4,nf4,14.403875,4720.9519,69.425763,,15.025991,1.043191,15,68,53,4,11,60,0.883333,0.733333,0.266667,3.533333,4.533333,163.034439,136.283669,2445.516584,2044.25504
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_1,4,200,0.9,1.0,64,nf4,nf4,13.80251,4781.739079,72.450592,,14.282317,1.034762,15,66,51,6,9,60,0.85,0.6,0.4,3.4,4.4,166.646756,138.981262,2499.701339,2084.718924
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_1,6,50,0.0,1.0,64,nf4,nf4,13.437816,4762.678609,74.416853,,11.484062,0.854608,15,64,49,10,5,90,0.544444,0.333333,0.666667,3.266667,4.266667,231.683622,137.307137,3475.254336,2059.60705
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_1,6,50,0.9,1.0,64,nf4,nf4,14.273544,4764.058527,70.059684,,14.830056,1.038989,12,68,56,4,8,72,0.777778,0.666667,0.333333,4.666667,5.666667,238.531965,140.804865,2862.383575,1689.65838
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_1,6,100,0.0,1.0,64,nf4,nf4,13.967426,4725.280015,71.595152,,17.409711,1.246451,10,66,56,1,9,60,0.933333,0.9,0.1,5.6,6.6,238.06363,138.123148,2380.636295,1381.231482
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_1,6,100,0.9,1.0,64,nf4,nf4,14.462398,4770.992874,69.144824,,13.007791,0.899421,14,69,55,6,8,84,0.654762,0.571429,0.428571,3.928571,4.928571,235.817301,140.532095,3301.442212,1967.449328
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_1,6,150,0.0,1.0,64,nf4,nf4,14.166156,4800.173041,70.59078,,15.041443,1.061787,12,68,56,4,8,72,0.777778,0.666667,0.333333,4.666667,5.666667,235.802536,138.163431,2829.630434,1657.961175
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_1,6,150,0.9,1.0,64,nf4,nf4,13.383507,4782.005369,74.718834,,12.914366,0.964946,13,64,51,7,6,78,0.653846,0.461538,0.538462,3.923077,4.923077,237.990344,140.539763,3093.874473,1827.016917
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_1,6,200,0.0,1.0,64,nf4,nf4,13.431415,4764.948378,74.452318,,16.760645,1.247869,10,64,54,2,8,60,0.9,0.8,0.2,5.4,6.4,239.994204,138.773457,2399.942038,1387.73457
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_1,6,200,0.9,1.0,64,nf4,nf4,13.757102,4797.521869,72.689725,,15.702409,1.141404,11,66,55,3,8,66,0.833333,0.727273,0.272727,5,6,238.341295,140.910515,2621.754243,1550.01566
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_1,8,50,0.0,1.0,64,nf4,nf4,14.76336,4741.468162,67.735259,,18.98043,1.285644,8,70,62,1,7,64,0.96875,0.875,0.125,7.75,8.75,317.174044,140.160516,2537.392348,1121.28413
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_1,8,50,0.9,1.0,64,nf4,nf4,14.406312,4720.15308,69.414016,,14.796424,1.027079,10,68,58,4,6,80,0.725,0.6,0.4,5.8,6.8,313.618701,142.712154,3136.187013,1427.121537
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_1,8,100,0.0,1.0,64,nf4,nf4,15.26733,4715.952401,65.499339,,19.527689,1.279051,8,72,64,0,8,64,1.0,1.0,0.0,8,9,317.17656,140.048507,2537.412482,1120.388058
llama32_1b_to_31_8b,llama_cross,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.1-8B,continuation,continuation_1,8,100,0.9,1.0,64,nf4,nf4,13.728971,4734.513502,72.838669,,9.028604,0.657632,16,65,49,12,4,128,0.382812,0.25,0.75,3.0625,4.0625,305.937676,141.491981,4895.002821,2263.871696
